Count,sender,sender_id,receiver,receiver_id,amount,currency,Mt,year,direction,category,send region,receiver region,mx/mt
1,BNP Paribas,BPBNSAGC7SV,Abu Dhabi Commercial Bank,ADCBMEAD03P,8951.88,USD,MT760,2017,Incoming,Loan Disbursement,South Asia,Middle East,MT
2,Abu Dhabi Commercial Bank,ADCBMEAD03P,RAK Bank,RBRAMEAANF7,91231.89,USD,MT910,2022,Outgoing,Interbank Settlement,Middle East,Middle East,MT
3,Bank of America,BOABAPYTBUG,Abu Dhabi Commercial Bank,ADCBMEAD03P,2369.83,EUR,MT799,2020,Outgoing,Corporate Payment,Asia Pacific,Middle East,MT
4,HSBC,HSBCSAJE8V3,Emirates NBD,ENEMMEA6RXO,11023.74,EUR,MT950,2019,Outgoing,FX Settlement,South Asia,Africa,MT
5,Barclays,BBARCAJJO3R,Mashreq Bank,MBMAMEAE4ZY,8799.12,AED,MT202,2018,Outgoing,Interbank Settlement,Caribbean,Middle East,MT
6,First Abu Dhabi Bank,FADBMEA2699,National Bank of Fujairah,NBOFMEAE56L,7481.84,USD,MT799,2019,Outgoing,Trade Finance,Middle East,Middle East,MT
7,Citibank,CCITCSAWGWT,First Abu Dhabi Bank,FADBMEA2699,379530.77,AED,MT799,2016,Incoming,Loan Disbursement,Central Asia,South Asia,MT
8,BNP Paribas,BPBNSAGC7SV,National Bank of Fujairah,NBOFMEAE56L,66785.29,GBP,MT202,2016,Outgoing,FX Settlement,South Asia,Middle East,MT
9,Standard Chartered,SCSTSAJOP2N,First Abu Dhabi Bank,FADBMEA2699,1765.6,EUR,MT700,2018,Outgoing,Loan Disbursement,South Asia,Middle East,MT
10,Citibank,CCITCSAWGWT,Mashreq Bank,MBMAMEAE4ZY,48747.56,EUR,MT940,2016,Incoming,Loan Disbursement,Central Asia,Middle East,MT
11,Mashreq Bank,MBMAMEAE4ZY,Sharjah Islamic Bank,SIBSMEAWAQ7,25098.68,USD,MT950,2021,Incoming,Investment,Middle East,Middle East,MT
12,BNP Paribas,BPBNSAGC7SV,United Arab Bank,UABUMEAPCIA,14065.62,USD,MT799,2019,Incoming,Loan Disbursement,South Asia,Middle East,MT
13,Bank of Tokyo-Mitsubishi UFJ,BOTUAPYWGS3,National Bank of Umm Al Qaiwain,NBOUMEA1ILX,319111.16,AED,MT760,2019,Incoming,Investment,Asia Pacific,Middle East,MT
